,MSE,RMSE,MAE,R2
Mn,0.3324680708980571,0.5766004430262407,0.4599626314667563,0.9987021725420276
Fe,0.10399860393357387,0.3224881454155701,0.21515174843584192,0.9944454372753301
Si,0.004461924939211652,0.06679764171893834,0.05409898130123613,0.9820489081149736
Al,0.005986317885033716,0.07737129884546153,0.05836470365005597,0.9948532241551673
Ti,1.3607243440877197e-05,0.0036887997290280202,0.0019977697059178345,0.9302373111103701
Ca,9.122684394216607e-07,0.0009551274466905768,0.0005413957741756718,0.9923768027873271
P,1.5100941740509118e-06,0.0012288588910248856,0.0005301069940198289,0.5775357076484833
S,7.015480727554664e-05,0.008375846660221679,0.00462356428398932,0.8179169523222887
MnO,0.05210806067555655,0.22827190075775106,0.1510547911635252,0.9826017763117761
SiO2,0.044276757986471495,0.2104204314853277,0.14041482831486707,0.981273101301878
CaO,0.15332262140054886,0.3915643260060202,0.2950872003522293,0.993099264523795
Al2O3,0.3817053686332134,0.6178230884591587,0.431108565175579,0.9972609087893475
MgO,0.013212392232412912,0.11494517054845285,0.07815725429713885,0.9824847996822873
TiO2,4.457013152942713e-06,0.002111163933223262,0.0012041171287589516,0.9657074136195407
BaO,0.023432348123702547,0.15307628204167537,0.1027146181437526,0.997816706539526
K2O,6.146388056589773e-07,0.0007839890341445965,0.0004183088996604956,0.95619229293828
